MS_Name,area_m2,p_export_catch_tfa100_k05,p_export_catch_tfa100_k2,p_export_catch_tfa100_k4,p_export_catch_tfa500_k05,p_export_catch_tfa500_k2,p_export_catch_tfa500_k4,p_export_catch_tfa1000_k05,p_export_catch_tfa1000_k2,p_export_catch_tfa1000_k4
USGS-50010500,8233400,435.51,330.451,300.917,247.413,190.839,173.654,182.369,140.12,126.505
USGS-50020500,48127100,2185.546,1635.707,1466.221,1674.801,1252.191,1109.078,1588.717,1188.565,1045.144
USGS-50028000,46521300,1046.31,783.616,708.456,414.696,315.814,285.646,264.158,203.741,183.225
USGS-50029000,520934700,9645.153,7286.142,6556.473,6364.176,4815.494,4295.43,5794.305,4386.561,3886.315
USGS-50031200,142999800,3897.064,2877.629,2556.442,2148.197,1592.586,1397.786,1692.887,1257.432,1090.918
USGS-50038100,427153400,7283.047,5454.997,4873.761,3891.603,2893.681,2540.371,3101.347,2312.574,2010.612
USGS-50038320,39188500,1489.481,1189.89,1113.06,769.139,627.867,587.709,694.264,548.836,505.011
USGS-50039500,207034300,9580.172,8070.773,7680.992,5510.899,4544.293,4269.099,3857.863,3117.541,2894.941
USGS-50046000,537576600,29940.621,24731.082,23299.594,16074.607,13150.31,12256.672,11877.294,9438.528,8658.827
USGS-50049100,38921500,9411.744,8115.869,7802.254,4977.578,4183.012,3972.202,3170.566,2540.432,2363.813
USGS-50055000,232173200,12786.692,10680.593,10104.294,7858.55,6380.292,5943.022,6990.929,5583.558,5153.855
USGS-50063800,22410700,112.129,84.702,77.229,108.889,79.346,70.533,109.923,80.493,70.97
USGS-50071000,38377700,161.918,120.313,109.117,89.449,66.123,58.96,53.773,39.903,35.541
USGS-50083500,42440900,844.75,684.277,639.482,565.54,449.598,414.254,398.126,309.887,282.097
USGS-50092000,47546700,393.508,293.95,257.273,403.804,305.314,263.928,399.428,303.43,261.087
USGS-50113800,30720300,97.467,71.937,63.046,25.033,18.842,16.053,13.635,10.077,8.639
USGS-50114000,46139400,404.704,309.743,268.99,307.995,242.142,208.642,283.672,224.334,192.624
USGS-50136400,48173900,761.955,565.938,508.845,403.517,302.497,270.484,396.147,298.062,264.436
USGS-50138000,308065700,16554.71,14270.421,13670.672,10528.277,8992.921,8553.717,9236.611,7814.281,7378.209
USGS-50144000,347317500,4565.629,3430.536,3085.094,2205.729,1648.073,1462.171,1461.895,1090.632,954.844
